Avg5, Avg30, Avg100, Avg200
6037, 5926, 5834, 5895
6060, 5928, 5842, 5892
6091, 5932, 5850, 5888
6123, 5944, 5858, 5887
6135, 5952, 5866, 5888
6114, 5955, 5872, 5887
6094, 5960, 5879, 5886
6049, 5968, 5885, 5885
6012, 5973, 5892, 5883
5997, 5980, 5897, 5881
5974, 5984, 5901, 5878
5947, 5985, 5904, 5875
5932, 5986, 5907, 5872
5926, 5988, 5909, 5868
5914, 5990, 5910, 5864
5911, 5990, 5911, 5860
5911, 5990, 5912, 5856
5906, 5990, 5912, 5853
5876, 5988, 5912, 5848
5849, 5985, 5912, 5843
5840, 5979, 5913, 5837
5831, 5973, 5913, 5833
5832, 5968, 5913, 5828
5868, 5969, 5915, 5824
5902, 5969, 5916, 5819
5938, 5969, 5917, 5815
5980, 5970, 5918, 5812
6031, 5974, 5921, 5809
6060, 5977, 5923, 5806
6089, 5981, 5927, 5803
6100, 5979, 5929, 5801
6115, 5980, 5931, 5799
6118, 5978, 5933, 5800
6113, 5976, 5935, 5800
6110, 5977, 5937, 5800
6119, 5980, 5939, 5802
6138, 5987, 5943, 5804
6160, 5997, 5947, 5805
6180, 6004, 5949, 5808
6198, 6010, 5950, 5809
6214, 6020, 5951, 5811
6216, 6032, 5952, 5812
6197, 6041, 5953, 5814
6197, 6049, 5953, 5819
6189, 6056, 5954, 5822
6191, 6067, 5956, 5823
6177, 6076, 5957, 5826
6161, 6083, 5960, 5827
6135, 6092, 5962, 5828
6105, 6099, 5965, 5829
6069, 6105, 5967, 5829
6045, 6112, 5969, 5829
6031, 6116, 5971, 5829
6020, 6117, 5974, 5829
6019, 6118, 5977, 5830
6024, 6119, 5981, 5831
6026, 6120, 5985, 5834
6019, 6114, 5988, 5835
6012, 6109, 5991, 5836
6012, 6106, 5994, 5836
6011, 6104, 5996, 5836
6005, 6101, 5998, 5837
6013, 6097, 5999, 5839
6015, 6093, 5999, 5841
6015, 6090, 6000, 5843
6002, 6085, 6000, 5845
5995, 6077, 6002, 5847
5994, 6069, 6002, 5850
5992, 6062, 6003, 5852
5968, 6051, 6002, 5853
5914, 6035, 5999, 5853
5867, 6019, 5996, 5853
5805, 6004, 5992, 5854
5748, 5987, 5991, 5854
5715, 5972, 5989, 5854
5719, 5956, 5988, 5854
5721, 5943, 5987, 5854
5730, 5932, 5987, 5855
5748, 5922, 5986, 5855
5757, 5914, 5986, 5856
5772, 5907, 5986, 5857
5780, 5899, 5986, 5857
5811, 5895, 5986, 5858
